word,meaning_kor,pronunciation,part_of_speech
access,"접근, 출입",/ˈæk.ses/,noun
accommodate,"수용하다, 편의를 제공하다",/əˈkɒm.ə.deɪt/,verb
accompany,"동반하다, 함께 가다",/əˈkʌm.pə.ni/,verb
achieve,달성하다,/əˈtʃiːv/,verb
acquire,획득하다,/əˈkwaɪər/,verb
address,"주소; 주소를 쓰다, 연설하다; 다루다",/əˈdres/,noun/verb
adjust,조정하다,/əˈdʒʌst/,verb
administer,"관리하다, 집행하다",/ədˈmɪn.ɪ.stər/,verb
adopt,"채택하다, 입양하다",/əˈdɒpt/,verb
advertise,광고하다,/ˈæd.vəˌtaɪz/,verb
afford,여유가 있다; ~할 수 있다,/əˈfɔːrd/,verb
agree,동의하다,/əˈgriː/,verb
allocate,할당하다,/ˈæl.ə.keɪt/,verb
analyze,분석하다,/ˈæn.ə.laɪz/,verb
announce,발표하다,/əˈnaʊns/,verb
annual,"연간의, 매년의",/ˈæn.ju.əl/,adjective
applicant,지원자,/ˈæp.lɪ.kənt/,noun
appointment,"약속, 임명",/əˈpɔɪnt.mənt/,noun
appreciate,감사하다; 이해하다; 평가하다,/əˈpriː.ʃi.eɪt/,verb
approach,접근하다; 접근,/əˈproʊtʃ/,verb/noun
approve,승인하다,/əˈpruːv/,verb
approximately,"대략, 약",/əˈprɒk.sɪ.mət.li/,adverb
arrange,"정리하다, 마련하다",/əˈreɪndʒ/,verb
article,기사; 물품,/ˈɑːr.tɪ.kəl/,noun
assess,평가하다,/əˈses/,verb
assign,"할당하다, 배정하다",/əˈsaɪn/,verb
assist,돕다,/əˈsɪst/,verb
assume,"가정하다, 떠맡다",/əˈsuːm/,verb
attach,"붙이다, 첨부하다",/əˈtætʃ/,verb
attend,참석하다,/əˈtend/,verb
attract,끌어들이다,/əˈtrækt/,verb
audit,"감사하다, 회계감사",/ˈɔː.dɪt/,noun/verb
authorize,"권한을 주다, 승인하다",/ˈɔː.θə.raɪz/,verb
available,이용할 수 있는,/əˈveɪ.lə.bəl/,adjective
average,평균; 평균의,/ˈæv.ər.ɪdʒ/,noun/adjective
award,"수여하다, 상",/əˈwɔːrd/,noun/verb
balance,"잔액, 균형; 균형을 잡다",/ˈbæl.əns/,noun/verb
benefit,"이익, 혜택; 이익을 얻다",/ˈben.ɪ.fɪt/,noun/verb
bid,"입찰하다, 가격 제시",/bɪd/,verb/noun
bonus,"보너스, 상여금",/ˈboʊ.nəs/,noun
branch,"지사, 지점",/bræntʃ/,noun
budget,예산,/ˈbʌdʒ.ɪt/,noun
candidate,"후보자, 지원자",/ˈkæn.dɪ.dət/,noun
capacity,"수용력, 능력",/kəˈpæs.ə.ti/,noun
capital,"자본, 수도",/ˈkæp.ɪ.təl/,noun
career,"직업, 경력",/kəˈrɪər/,noun
carry,운반하다,/ˈkær.i/,verb
cash,현금,/kæʃ/,noun
category,"범주, 종류",/ˈkæt.ə.ɡɔːr.i/,noun
certify,"증명하다, 인증하다",/ˈsɜːr.tɪ.faɪ/,verb
challenge,"도전, 과제; 도전하다",/ˈtʃæl.ɪndʒ/,noun/verb
change,"변경, 바꾸다",/tʃeɪndʒ/,noun/verb
charge,"청구하다, 요금",/tʃɑːrdʒ/,verb/noun
check,"확인하다, 점검; 수표",/tʃek/,verb/noun
choose,선택하다,/tʃuːz/,verb
claim,주장하다; 청구(권),/kleɪm/,verb/noun
client,"고객, 의뢰인",/ˈklaɪ.ənt/,noun
comply,"따르다, 준수하다",/kəmˈplaɪ/,verb
conclude,"결론짓다, 마무리하다",/kənˈkluːd/,verb
confirm,확인하다,/kənˈfɜːrm/,verb
connect,연결하다,/kəˈnekt/,verb
consent,"동의, 허락; 동의하다",/kənˈsɛnt/,noun/verb
consider,고려하다,/kənˈsɪd.ər/,verb
consult,"상담하다, 의논하다",/kənˈsʌlt/,verb
contact,"연락하다, 접촉",/ˈkɒn.tækt/,verb/noun
contract,계약; 계약하다,/ˈkɒn.trækt/,noun/verb
contractor,"계약자, 도급업자",/kənˈtræk.tər/,noun
contribute,"기여하다, 기부하다",/kənˈtrɪb.juːt/,verb
control,"통제하다, 제어; 통제",/kənˈtroʊl/,noun/verb
convenient,편리한,/kənˈviː.ni.ənt/,adjective
convert,"전환하다, 바꾸다",/kənˈvɜːrt/,verb
cooperate,협력하다,/koʊˈɒp.ə.reɪt/,verb
corporate,"기업의, 법인의",/ˈkɔːr.pər.ət/,adjective
cost,"비용, 비용이 들다",/kɒst/,noun/verb
create,"창조하다, 만들다",/kriˈeɪt/,verb
credit,"신용, 학점; 신용을 주다",/ˈkred.ɪt/,noun/verb
customer,"고객, 소비자",/ˈkʌs.tə.mər/,noun
decrease,"감소하다, 줄이다",/dɪˈkriːs/,verb/noun
deliver,"배달하다, 전달하다",/dɪˈlɪv.ər/,verb
demand,수요; 요구하다,/dɪˈmænd/,noun/verb
department,"부서, 학과",/dɪˈpɑːrt.mənt/,noun
deposit,"예금, 보증금; 예치하다",/dɪˈpɒz.ɪt/,noun/verb
design,"설계하다, 디자인",/dɪˈzaɪn/,verb/noun
determine,"결정하다, 결심하다",/dɪˈtɜːr.mɪn/,verb
develop,"개발하다, 발전시키다",/dɪˈvel.əp/,verb
device,"장치, 기기",/dɪˈvaɪs/,noun
director,"이사, 감독",/dəˈrek.tər/,noun
discuss,논의하다,/dɪˈskʌs/,verb
display,"진열하다, 표시하다",/dɪˈspleɪ/,verb/noun
distribute,"배포하다, 분배하다",/dɪˈstrɪb.juːt/,verb
division,"부서, 분할",/dɪˈvɪʒ.ən/,noun
document,"문서, 서류",/ˈdɒk.jʊ.mənt/,noun/verb
domestic,"국내의, 가정의",/dəˈmes.tɪk/,adjective
due,~때문에; 기한이 된; 예정된,/djuː/,adjective
duplicate,"복사하다, 복제하다",/ˈdjuː.plɪ.kət/,verb/adjective
eliminate,"제거하다, 없애다",/ɪˈlɪm.ɪ.neɪt/,verb
emphasize,강조하다,/ˈem.fə.saɪz/,verb
enable,가능하게 하다,/ɪˈneɪ.bəl/,verb
encourage,"격려하다, 장려하다",/ɪnˈkʌr.ɪdʒ/,verb
ensure,"확실하게 하다, 보장하다",/ɪnˈʃʊər/,verb
establish,"설립하다, 확립하다",/ɪˈstæb.lɪʃ/,verb
evaluate,평가하다,/ɪˈvæl.ju.eɪt/,verb
event,"사건, 행사",/ɪˈvent/,noun
evidence,"증거, 근거",/ˈev.ɪ.dəns/,noun
exceed,초과하다,/ɪkˈsiːd/,verb
exchange,"교환하다, 교환",/ɪksˈtʃeɪndʒ/,verb/noun
exclude,제외하다,/ɪkˈskluːd/,verb
expand,"확대하다, 확장하다",/ɪkˈspænd/,verb
expect,"기대하다, 예상하다",/ɪkˈspekt/,verb
experience,경험; 경험하다,/ɪkˈspɪə.ri.əns/,noun/verb
expert,"전문가, 숙련된",/ˈek.spɜːrt/,noun/adjective
explain,설명하다,/ɪkˈspleɪn/,verb
export,수출하다; 수출,/ˈek.spɔːrt/,verb/noun
extend,"확장하다, 연장하다",/ɪkˈstend/,verb
facility,시설,/fəˈsɪl.ə.ti/,noun
file,"서류, 파일; 파일하다",/faɪl/,noun/verb
finance,"재정, 자금; 자금을 제공하다",/ˈfaɪ.næns/,noun/verb
financial,"재정의, 금융의",/faɪˈnæn.ʃəl/,adjective
flexible,융통성 있는,/ˈflek.sə.bəl/,adjective
focus,초점; 집중하다,/ˈfoʊ.kəs/,noun/verb
folder,"폴더, 서류철",/ˈfoʊl.dər/,noun
forecast,"예측, 예보",/ˈfɔːr.kæst/,noun/verb
formality,형식(절차),/fɔːrˈmæl.ə.ti/,noun
forward,앞으로; 전달하다,/ˈfɔːr.wərd/,adverb/verb
furnish,"비치하다, 제공하다",/ˈfɜːr.nɪʃ/,verb
fund,자금; 자금을 제공하다,/fʌnd/,noun/verb
funding,자금 조달,/ˈfʌn.dɪŋ/,noun
fundamental,기본적인,/ˌfʌn.dəˈmen.təl/,adjective
further,더 나아가,/ˈfɜːr.ðər/,adverb/adjective
goal,목표,/ɡoʊl/,noun
goods,상품,/ɡʊdz/,noun
govern,"통치하다, 관리하다",/ˈɡʌv.ərn/,verb
guarantee,"보증하다, 보장",/ˌɡær.ənˈtiː/,noun/verb
guideline,지침,/ˈɡaɪd.laɪn/,noun
handle,"다루다, 취급하다",/ˈhæn.dəl/,verb
headquarters,본사,/ˌhedˈkwɔːr.tərz/,noun
highlight,"강조하다, 하이라이트",/ˈhaɪ.laɪt/,verb/noun
hire,고용하다; 고용,/haɪər/,verb/noun
hold,열다; 개최하다; 보유하다,/hoʊld/,verb
household,"가정, 가구",/ˈhaʊs.hoʊld/,noun
identify,"식별하다, 확인하다",/aɪˈden.tɪ.faɪ/,verb
identity,"정체성, 신원",/aɪˈden.tɪ.ti/,noun
ignore,무시하다,/ɪɡˈnɔːr/,verb
impact,영향,/ˈɪm.pækt/,noun/verb
implement,"이행하다, 도구",/ˈɪm.plɪ.ment/,verb/noun
implementation,"이행, 실행",/ˌɪm.plɪ.mənˈteɪ.ʃən/,noun
implication,"함축, 영향",/ˌɪm.plɪˈkeɪ.ʃən/,noun
import,수입하다; 수입,/ɪmˈpɔːrt/,verb/noun
impose,부과하다,/ɪmˈpoʊz/,verb
impressive,인상적인,/ɪmˈpres.ɪv/,adjective
improve,개선하다,/ɪmˈpruːv/,verb
incentive,"장려책, 유인",/ɪnˈsen.tɪv/,noun
incident,사건,/ˈɪn.sɪ.dənt/,noun
include,포함하다,/ɪnˈkluːd/,verb
income,"수입, 소득",/ˈɪn.kʌm/,noun
incorporate,"통합하다, 포함하다",/ɪnˈkɔːr.pə.reɪt/,verb
increase,"증가하다, 증가",/ɪnˈkriːs/,verb/noun
indicate,"나타내다, 가리키다",/ˈɪn.dɪ.keɪt/,verb
individual,"개인, 개별의",/ˌɪn.dɪˈvɪdʒ.u.əl/,noun/adjective
industry,산업,/ˈɪn.də.stri/,noun
influence,영향을 미치다; 영향,/ˈɪn.flu.əns/,verb/noun
inform,"알리다, 통지하다",/ɪnˈfɔːrm/,verb
information,정보,/ˌɪn.fəˈmeɪ.ʃən/,noun
infrastructure,기반 시설,/ˈɪn.frəˌstrʌk.tʃər/,noun
initial,초기의,/ɪˈnɪʃ.əl/,adjective
initiate,시작하다,/ɪˈnɪʃ.i.eɪt/,verb
initiative,"주도권, 계획",/ɪˈnɪʃ.ə.tɪv/,noun
inspect,검사하다,/ɪnˈspekt/,verb
inspection,검사,/ɪnˈspek.ʃən/,noun
install,설치하다,/ɪnˈstɔːl/,verb
installation,"설치, 설치물",/ˌɪn.stəˈleɪ.ʃən/,noun
instance,"예, 사례",/ˈɪn.stəns/,noun
institute,"기관, 설립하다",/ˈɪn.stɪ.tʃuːt/,noun/verb
institution,기관,/ˌɪn.stɪˈtuː.ʃən/,noun
instruction,"지시, 설명",/ɪnˈstrʌk.ʃən/,noun
insurance,보험,/ɪnˈʃʊər.əns/,noun
insure,"보험에 들다, 보장하다",/ɪnˈʃʊər/,verb
integrate,통합하다,/ˈɪn.tɪ.ɡreɪt/,verb
integrity,"정직성, 완전성",/ɪnˈteɡ.rə.ti/,noun
intend,의도하다,/ɪnˈtend/,verb
interest,"관심, 이자",/ˈɪn.trəst/,noun/verb
internal,내부의,/ɪnˈtɜːr.nəl/,adjective
international,국제의,/ˌɪn.təˈnæʃ.ə.nəl/,adjective
interpret,해석하다,/ɪnˈtɜːr.prət/,verb
interrupt,중단시키다,/ˌɪn.təˈrʌpt/,verb
interview,"면접, 인터뷰",/ˈɪn.tə.vjuː/,noun/verb
introduce,"소개하다, 도입하다",/ˌɪn.trəˈdjuːs/,verb
inventory,"재고, 목록",/ˈɪn.vən.tɔːr.i/,noun
invest,투자하다,/ɪnˈvest/,verb
investigate,조사하다,/ɪnˈves.tɪ.ɡeɪt/,verb
investor,투자자,/ɪnˈves.tər/,noun
involve,"포함하다, 관여시키다",/ɪnˈvɒlv/,verb
issue,"문제, 발행하다",/ˈɪʃ.uː/,noun/verb
item,"항목, 품목",/ˈaɪ.təm/,noun
job,"일, 직업",/dʒɒb/,noun
join,"가입하다, 합류하다",/dʒɔɪn/,verb
judge,"판단하다, 판사",/dʒʌdʒ/,verb/noun
justify,정당화하다,/ˈdʒʌs.tɪ.faɪ/,verb
key,"핵심, 중요한",/kiː/,noun/adjective
label,"라벨, 표",/ˈleɪ.bəl/,noun/verb
launch,"출시하다, 시작하다",/lɔːntʃ/,verb/noun
legal,법적인,/ˈliː.ɡəl/,adjective
legislation,"법률, 입법",/ˌle.dʒɪsˈleɪ.ʃən/,noun
leisure,여가,/ˈleʒ.ər/,noun
letter,"편지, 서한",/ˈlet.ər/,noun
level,"수준, 단계",/ˈlev.əl/,noun
license,"면허, 허가",/ˈlaɪ.səns/,noun/verb
limit,"제한하다, 한계",/ˈlɪm.ɪt/,noun/verb
limited,제한된,/ˈlɪm.ɪ.tɪd/,adjective
locate,"위치시키다, 찾아내다",/loʊˈkeɪt/,verb
location,"위치, 장소",/loʊˈkeɪ.ʃən/,noun
maintain,유지하다,/meɪnˈteɪn/,verb
majority,대다수,/məˈdʒɒr.ə.ti/,noun
manage,관리하다,/ˈmæn.ɪdʒ/,verb
